Service Date,Route,Service Week,Available Operators,Operators Scheduled,Total Operators Call-Outs,Total Operators Scheduled Off,Total Operators,Operators Compliance Rate,Operators Call-Outs %
2023-08-09,CH-US,Monday-Thursday,9.0,56.0,15.0,11.0,43.0,0.7678571428571429,-0.26785714285714285
2023-08-09,EM-LP,Monday-Thursday,6.0,56.0,15.0,11.0,43.0,0.7678571428571429,-0.26785714285714285
2023-08-09,GT-US,Monday-Thursday,11.0,56.0,15.0,11.0,43.0,0.7678571428571429,-0.26785714285714285
2023-08-09,NMS,Monday-Thursday,4.0,56.0,15.0,11.0,43.0,0.7678571428571429,-0.26785714285714285
2023-08-09,RS-DP,Monday-Thursday,6.0,56.0,15.0,11.0,43.0,0.7678571428571429,-0.26785714285714285
2023-08-09,WP-AM,Monday-Thursday,7.0,56.0,15.0,11.0,43.0,0.7678571428571429,-0.26785714285714285
2023-08-10,CH-US,Monday-Thursday,9.0,50.0,1.0,1.0,43.0,0.86,-0.02
2023-08-10,EM-LP,Monday-Thursday,6.0,50.0,1.0,1.0,43.0,0.86,-0.02
2023-08-10,GT-US,Monday-Thursday,11.0,50.0,1.0,1.0,43.0,0.86,-0.02
2023-08-10,NMS,Monday-Thursday,4.0,50.0,1.0,1.0,43.0,0.86,-0.02
2023-08-10,RS-DP,Monday-Thursday,7.0,50.0,1.0,1.0,43.0,0.86,-0.02
2023-08-10,WP-AM,Monday-Thursday,6.0,50.0,1.0,1.0,43.0,0.86,-0.02
2023-08-11,CH-US,Friday,9.0,48.0,18.0,11.0,43.0,0.8958333333333334,-0.375
2023-08-11,EM-LP,Friday,6.0,48.0,18.0,11.0,43.0,0.8958333333333334,-0.375
2023-08-11,GT-US,Friday,11.0,48.0,18.0,11.0,43.0,0.8958333333333334,-0.375
2023-08-11,NMS,Friday,4.0,48.0,18.0,11.0,43.0,0.8958333333333334,-0.375
2023-08-11,RS-DP,Friday,6.0,48.0,18.0,11.0,43.0,0.8958333333333334,-0.375
2023-08-11,WP-AM,Friday,7.0,48.0,18.0,11.0,43.0,0.8958333333333334,-0.375
2023-08-12,CH-US,Saturday,10.0,45.0,9.0,11.0,43.0,0.9555555555555556,-0.2
2023-08-12,EM-LP,Saturday,6.0,45.0,9.0,11.0,43.0,0.9555555555555556,-0.2
2023-08-12,GT-US,Saturday,10.0,45.0,9.0,11.0,43.0,0.9555555555555556,-0.2
2023-08-12,NMS,Saturday,4.0,45.0,9.0,11.0,43.0,0.9555555555555556,-0.2
2023-08-12,RS-DP,Saturday,6.0,45.0,9.0,11.0,43.0,0.9555555555555556,-0.2
2023-08-12,WP-AM,Saturday,7.0,45.0,9.0,11.0,43.0,0.9555555555555556,-0.2
2023-08-13,CH-US,Sunday,10.0,48.0,17.0,6.0,40.0,0.8333333333333334,-0.3541666666666667
2023-08-13,EM-LP,Sunday,6.0,48.0,17.0,6.0,40.0,0.8333333333333334,-0.3541666666666667
2023-08-13,GT-US,Sunday,7.0,48.0,17.0,6.0,40.0,0.8333333333333334,-0.3541666666666667
